SalePrice,id
120129.31638285203,1461
153008.78931274894,1462
181999.67177216802,1463
195952.28499780258,1464
197477.8125872035,1465
171222.8437366318,1466
178212.01779580905,1467
161123.61215957563,1468
193898.47881496898,1469
119925.60478980588,1470
189952.67457183255,1471
97385.92416901988,1472
96173.51867350205,1473
146413.76269308932,1474
113408.51351352464,1475
363558.8419400451,1476
250762.12819425573,1477
294599.1815289544,1478
299293.44565708295,1479
474977.58803628816,1480
325368.59760204714,1481
210850.56526419742,1482
177057.72071004286,1483
162710.8451215373,1484
191473.76554705817,1485
193107.96177746565,1486
339866.0295461018,1487
238341.33532048418,1488
193749.6160175262,1489
231349.0620407485,1490
195044.07028414906,1491
92756.67611514167,1492
189749.588439213,1493
299951.37928339146,1494
293285.5911212206,1495
235702.1576615435,1496
179388.32508260943,1497
167787.27829460736,1498
162374.42494971008,1499
152697.7749543966,1500
174507.69277533906,1501
145503.650621222,1502
290290.2230337354,1503
242519.0337992154,1504
225593.9751779172,1505
188193.2251987882,1506
245834.55147804398,1507
202873.92776776533,1508
163898.0977788808,1509
143480.39546743763,1510
148092.67300571027,1511
175334.36311484547,1512
152363.35065623105,1513
155109.81990672962,1514
197374.4060036543,1515
157898.11081760877,1516
168347.74792537407,1517
132466.49684443185,1518
209170.43080419523,1519
127540.3085057889,1520
130083.47515553552,1521
178496.1397739455,1522
110130.51159133491,1523
125686.44701638781,1524
120266.19747097162,1525
113488.37444080893,1526
107566.1745008582,1527
137378.38934699498,1528
149722.56499002757,1529
184338.3627019251,1530
105988.75185360076,1531
98505.57943429326,1532
142816.38267748785,1533
127215.27170736817,1534
147673.90202250832,1535
106379.11563719086,1536
64977.58596862494,1537
147236.97205496248,1538
191933.55837510555,1539
94263.45850341654,1540
138707.1051419694,1541
139649.2498648731,1542
189700.53751999236,1543
85068.0084813381,1544
115257.94054333334,1545
135137.91282301565,1546
127884.20576731066,1547
138708.24355731055,1548
119838.49286651284,1549
135618.02321826073,1550
108884.99981547246,1551
136390.98109602102,1552
148289.80774366978,1553
116891.822721104,1554
160376.90131114144,1555
85485.17170699117,1556
105780.72011395861,1557
97580.45125685359,1558
63552.76802692346,1559
134335.23100407352,1560
129372.72588983385,1561
130057.34828423745,1562
117918.55506134832,1563
155071.55198099834,1564
150955.3407950724,1565
237772.53074719856,1566
76404.0750295784,1567
230818.44131562527,1568
127780.26853477299,1569
139167.54640386638,1570
123248.06659908096,1571
142090.06900251668,1572
236848.71671764113,1573
118411.16056848996,1574
228294.73339371238,1575
241692.83937702145,1576
182201.759648107,1577
148720.33335049936,1578
144283.67460412002,1579
196843.9280176812,1580
153037.5173431959,1581
125687.59815299742,1582
295888.95713129715,1583
216154.1458681093,1584
136126.5245419615,1585
67143.73313938858,1586
104989.71874882655,1587
151179.16829745146,1588
96656.21648976799,1589
133891.40280903337,1590
92120.87031055172,1591
114189.88906279957,1592
127669.24235410152,1593
123646.96546166201,1594
