,0
0,11.708551438055387
1,11.981133803557242
2,12.1443762695984
3,12.211828701160087
4,12.199383714322614
5,12.059372844438272
6,12.079788841818369
7,11.983773167152664
8,12.20382340295109
9,11.70455279789724
10,12.041990981805366
11,11.477559873666973
12,11.465713345582056
13,11.885364523915921
14,11.595082027010383
15,12.795930705330683
16,12.444748873831042
17,12.654929887724787
18,12.616303181504138
19,13.13104744294655
20,12.704739037173768
21,12.247338295946374
22,12.120741605261657
23,11.980583116639863
24,12.13939658016424
25,12.149400278273633
26,12.748834027811807
27,12.338462245745728
28,12.175980237394516
29,12.4305961083067
30,12.183708549187083
31,11.48142513166771
32,12.090557568423666
33,12.623114753666632
34,12.572962041206168
35,12.353951897220313
36,12.128850587884145
37,12.169225919133398
38,12.044535579779259
39,11.981772808457732
40,12.090075652461014
41,11.84766589926627
42,12.674849663030539
43,12.38820172804189
44,12.34483742869151
45,12.163214151182165
46,12.416036500084317
47,12.210175656200292
48,11.954740838564822
49,11.887012005600756
50,12.049532752654953
51,12.054593745384025
52,11.890394691587748
53,11.972804928899372
54,12.131131888665584
55,11.938147801560467
56,12.070134573708238
57,11.782773100443265
58,12.241391177658757
59,11.744164060153654
60,11.807174519735593
61,12.072871273312247
62,11.673937555406209
63,11.759844591022253
64,11.678223439935753
65,11.628419843155491
66,11.607894520511419
67,11.796942650804224
68,11.969301953205417
69,12.16472331201923
70,11.602750878416249
71,11.431576266833662
72,11.93896422287721
73,11.742786098822105
74,11.898326063493393
75,11.55879819674732
76,10.994442735499854
77,11.916974970942903
78,12.16987062375245
79,11.324652073787487
80,11.851006677334242
81,11.96671789312707
82,12.09237079694125
83,11.341668234391214
84,11.66891344983749
85,11.819482255670563
86,11.800246701435295
87,11.854682494821967
88,11.70287083391646
89,11.81993127574711
90,11.53719066492241
91,11.845749039811691
92,11.875309888512817
93,11.656049385120255
94,12.021768168900067
95,11.333741716051723
96,11.71289850509102
97,11.563022317453346
98,10.988411053786113
99,11.773634829081193
100,11.721282034041451
101,11.778182428926074
102,11.699289390239498
103,11.9826673956645
104,11.961648975459852
105,12.37945099628787
106,11.278295646740615
107,12.38822468581812
108,11.836225597283551
109,11.78001979283213
110,11.62935060522696
111,11.864191216372003
112,12.331109667767386
113,11.684502395492828
114,12.389201284808676
115,12.350767969537323
116,12.071888505395892
117,11.895451146055425
118,11.933526515094298
119,12.180543278136144
120,11.969182544057965
121,11.739085903712017
122,12.574075227366663
123,12.279160371163336
124,11.802536009087444
125,11.262818528215487
126,11.599124947952106
127,11.890959768199778
128,11.49651586913571
129,11.756876288946469
130,11.443861994302623
131,11.702278433900197
132,11.765991357518777
133,11.770073042411589
134,11.643155271896063
135,12.288242106564184
136,12.243374055188944
137,12.355467479784547
138,12.031219946001604
139,11.973851526282507
140,11.098729317051697
141,11.683022908667384
142,11.044267150771198
143,12.474083598015598
144,12.343193207578512
145,12.006943793631006
146,12.083350411139612
147,12.288679290934308
148,12.10500268088866
149,11.93297040722419
150,11.81793067474387
151,12.05918837253702
152,12.020729139445223
153,11.72442516616764
154,11.427226823054756
155,11.280377417522441
156,11.428800682218183
157,11.847322609156917
158,11.841977839634968
159,11.903320903815995
160,11.802919920972586
161,11.890211133902769
162,12.410453674138912
163,12.217024884722584
164,11.653767043896849
165,12.035543420824764
166,12.186845501351875
167,12.526869863544874
168,12.09872676409886
169,12.796392410911173
170,12.393863709329029
171,12.468148539661557
172,12.036822161131072
173,12.127963477130228
174,12.063928016060796
175,11.927673899782727
176,12.266105541638582
177,12.10717365184704
178,12.141460479480795
179,12.383168801592078
180,12.119429215838892
181,12.431264832721997
182,12.3209795770975
183,12.422488106383522
184,12.221818819545156
185,11.946098037948257
186,11.974550871179913
187,11.765720708024586
188,11.846909144765462
189,11.629209924185272
190,11.67833431103716
191,11.484652244634072
192,11.498120843886184
193,11.898051964411488
194,11.77399733244579
195,11.867848762221705
196,11.93564222650049
197,11.898876017151045
198,11.682338452944867
199,11.948767868685614
200,13.024021982107937
201,12.921433570775598
202,12.862624230822158
203,13.28483875189666
204,12.652911618627012
205,12.644678570663586
206,12.885440450734619
207,12.755175064311842
208,12.654464579237146
209,12.782978906370722
210,12.50971046992419
211,12.973271247946757
212,12.579120310854465
213,12.391139622206225
214,12.211807266628623
215,12.194194981694062
216,12.325930247421077
217,13.058805874010579
218,12.914916302395177
219,12.706573318961361
220,12.417445902033197
221,12.703331361496009
222,12.133829872238389
223,12.053632997612336
224,12.05075514659569
225,12.022628463824889
226,12.023243956763357
227,12.121609264458677
228,12.14397576639514
229,12.166375263624293
230,12.112135404951498
231,12.427026331919574
232,12.008725831427654
233,12.120880003902608
234,12.007555225710664
235,12.549975407381005
236,12.036731390401275
237,12.753299931177871
238,12.664700201145425
239,12.475907690749285
240,12.513871081369523
241,12.410024480987072
242,12.402327471434791
243,12.509335884486632
244,12.354378382356519
245,12.32914644842232
246,12.226348272252675
247,12.222488551376792
248,12.47159690545989
249,12.290572431392963
250,12.537443810881522
251,12.449719827492974
252,12.569578969420776
253,12.365777678153123
254,12.260912312040796
255,12.126158525183907
256,12.061456982292118
257,11.854537934630521
258,12.252832537545661
259,12.312288114513647
260,11.916951072964348
261,11.711506828207696
262,11.915633205020066
263,12.21355575082885
264,12.391369609512731
265,12.121969948900066
266,11.954867457138187
267,11.987989080348559
268,12.045206313432876
269,11.921977148455085
270,11.647623666173187
271,11.746226751892479
272,11.602089993678211
273,11.705948857107563
274,11.610252183965441
275,11.552195218602167
276,12.582812451282651
277,12.50487852474301
278,12.334446424494155
279,12.290369138305655
280,12.177648326572259
281,12.06892818263735
282,12.087785864487406
283,12.869589521265851
284,12.276559747383363
285,12.084120659291798
286,12.29453510858409
287,12.288277659294451
288,11.85636974531078
